filename,ground_truth_text
AHTD3A0001_Para2_3.tif,من العذاب في الآخرة، وأفضل ما رزقهم الله تعالى ومن به عليهم بالعقل الذي هو دعامة
AHTD3A0006_Para3_1.tif,ـ@ ولم أرد ممن فعلت معه ذلك جزاءً ؛ ولم أغبط أحداً
AHTD3A0015_Para2_1.tif,ويعتقد الخبير السكاني تسنغ يي بينغ ، الأستاذ في جامعة بكين، أن
AHTD3A0021_Para2_1.tif,كان تشه شينغ لاى، الذي سينهي في يونيو هذا العام دراسة الدكتوراه في الفيزياء بجامعة تشينغهوا، يهمهم وهو خارج
AHTD3A0030_Para2_2.tif,بالسماء الزرقاء الرائعه  تنتشر المعابد على جروف الجبل، وفي أودية الجبل، تمتزج
AHTD3A0036_Para2_1.tif,أنها ذات جدران عالية قمتها على شكل رأس الحصان وبدون نوافذ وبها
AHTD3A0048_Para2_1.tif,وبذلك ساهمت بشكل كبير في تعميم مفهوم الطب التقليدي
AHTD3A0053_Para3_3.tif,المعنية فقط، بل يوجد اهتمام خاص بالنطق بالصينية. قال بعض الدارسين
AHTD3A0060_Para2_5.tif,المعهد دورات المستوى العالي لمعلمي اللغة الصينية، وستقتصر على
AHTD3A0069_Para2_5.tif,يستخدمون الأواني الفخارية، وهذا، في رأي العلماء دليل
AHTD3A0078_Para3_1.tif,شارع تشونغهوا شيانغتشانغ (الكافور الصيني) واحد من اثني عشر شارع
AHTD3A0084_Para2_4.tif,"في إفريقيا، ""سويتو""، وجزيرة سانت بيير  ، التي لم تطأها"
AHTD3A0088_Para3_4.tif,عالميا في السباحة بالمياه المنخفضة الحرارة  بعد ساعات من سباحة بوي
AHTD3A0094_Para3_3.tif,أطعمة قومية هوي، وتضمن معلومات عن الأطعمة المفيدة للمرأة الحامل والضارة
AHTD3A0108_Para2_3.tif,"في بداية هذا القرن. لقد وصفت أعمال ماو بأنها ""توازن بين فضائل"
AHTD3A0123_Para2_1.tif,في المتحف الدولي لأعمال الحفر على الخشب وبطاقات تعريف الكتب الذي أنشأه ليو
AHTD3A0141_Para2_2.tif,@ جنانه في نضال ثقافي طويل وعلى مدى أربعون عاماً من
AHTD3A0161_Para3_2.tif,التي يسنها تتوقف على قرار وموافقة (المجلس الاستشاري لها) وهذا المجلس
AHTD3A0171_Para2_1.tif,وفي ذلك العهد الزاهر تم بناء السد الشهير وتفننوا في شبكة الري
AHTD3A0184_Para2_4.tif,"والعقد وأهل العلم . ومن ذلك مبدأ الشورى, لم تفصل"
AHTD3A0188_Para2_6.tif,فعلى صعيد التقعيد الإسلامي للتنمية،
AHTD3A0193_Para2_1.tif,إدراك هذه المصارف للمشكلات والمعوقات التي @ تعترض طريقها كمصارف إسلامية
AHTD3A0196_Para3_3.tif,فالإنسان جسم محسوس يأكل ويشرب، ويتعب وينام، وروح تتذوق المعاني والجمال،
AHTD3A0206_Para2_1.tif,ولم تكن علاقة الإسلام بالفن تقتصر على توصيفه الشرعي فحسب، بل كان هناك فن منسوب إليه
AHTD3A0216_Para3_2.tif,فإنه لا يجوز في إدراك العلاقات السائدة بين البشر، فإدراك وجود الحق أو الباطل
AHTD3A0223_Para2_4.tif,نابعا عن الشجاعة،
AHTD3A0234_Para2_3.tif,لسد هذا العجز
AHTD3A0245_Para3_3.tif,( ت 478هـ/1094م) فيربط عثر بالسرين التي تقع بدورها على طريق الحج والتجارة
AHTD3A0252_Para2_3.tif,عدد من الآبار القديمة المطورة كشف السيل في إحدى السنتين عن ثلاثين
AHTD3A0258_Para3_6.tif,محاذاة الجزيرة من الشرق.
AHTD3A0263_Para3_6.tif,وكل طرقها نصفها مغطى بحدائق النخيل
AHTD3A0275_Para2_3.tif,الروايات والأقوال لإثبات أن القحطانيين هم أول العرب، وأن لسانهم هو لسان
AHTD3A0282_Para2_1.tif,ففي كل هذه المواضع و مواضع أخرى، وردت بمعنى أعراب  أما أهل المدن و المتحضرون، فكانوا
AHTD3A0287_Para2_1.tif,هذا ويلاحظ أن عدداً من القبائل العربية الضاربة في الشمال والساكنة في العراق
AHTD3A0291_Para2_5.tif,عرب مثل غيرهم، و لغات العرب هيّ لغات عربية، وإن اختلفت وتباينت،
AHTD3A0295_Para2_6.tif,في أنساب العرب، ثم ندخل بعد ذلك في التاريخ السياسي للعرب
AHTD3A0314_Para2_1.tif,"ثم ذكر أنهم أرخوا أيضاً بما كان يقع لديهم من أحدا جسيمة في نظرهم، مثل ""نار صوان""، وهي نار"
AHTD3A0331_Para3_4.tif,أفواه شهود عيان، شهدوا ما تحدثوا عنه  وقد أفادنا كثيراً
AHTD3A0347_Para3_4.tif,و أما في سائر الأصول التاريخية الأخرى، فهي مقتضبة
AHTD3A0353_Para3_4.tif,مراجعة الموارد الأخرى من كتب في @ التفسير وفي الحديث وفي الفقه
AHTD3A0367_Para2_2.tif,وناسبها، وعلامتها، وحامل سفرها، ووارث ما ادخرته ملوك حمير خزائنها من
AHTD3A0374_Para2_4.tif,"في كتاب ""الإكليل"" ما يشير إلى جاهلية وأصل جاهلي،"
AHTD3A0384_Para3_3.tif,"هذا الخط ويكتبون به  فقد جاء في بعض الموارد: ""والمسند خط حمير، مخالف لخطنا"
AHTD3A0392_Para3_5.tif,فمن الممكن تصحيحها الآن على ضوء استعمالها في مؤلفات الهمداني
AHTD3A0402_Para3_3.tif,حتى دخل على عمر، فقص عليه قصتهما وقصته  فقال له عمر: لن يذهبا عنك بشيء إن
AHTD3A0411_Para2_1.tif,عادة قلع المباني القديمة لاستخدام أنقاضها فيَ مبان جديدة، والاعتداء على الأطلال
AHTD3A0416_Para3_1.tif,"ونستطيع إن نعدّ السائح الدانماركي ""كارستن نيبور  الذي قام في سنة"
AHTD3A0421_Para2_6.tif,عهدهماالى زمن قريب من ميلاد الرسول،
AHTD3A0428_Para2_3.tif,أما هذا الثعبان، فقد كان أرضاً في الأصل، خسفت على هذه الصورة في الزمن للثالث من
AHTD3A0432_Para2_1.tif,وهي أرضون أدخلها الكتبة القدامى من يونان ولاتين وعبرانيين وسريان في جملة مساكن
